"STATION","NAME","DATE","PRCP"
"IN011350400","BHOPAL, IN","1970-03-16","0.00"
"IN011350400","BHOPAL, IN","1970-03-17","0.00"
"IN011350400","BHOPAL, IN","1970-03-18","0.00"
"IN011350400","BHOPAL, IN","1970-03-19","0.00"
"IN011350400","BHOPAL, IN","1970-03-20","0.00"
"IN011350400","BHOPAL, IN","1970-03-21","0.00"
"IN011350400","BHOPAL, IN","1970-03-22","0.00"
"IN011350400","BHOPAL, IN","1970-03-23","0.00"
"IN011350400","BHOPAL, IN","1970-03-24","0.00"
"IN011350400","BHOPAL, IN","1970-03-25","0.00"
"IN011350400","BHOPAL, IN","1970-03-26","0.00"
"IN011350400","BHOPAL, IN","1970-03-27","0.00"
"IN011350400","BHOPAL, IN","1970-03-28","0.00"
"IN011350400","BHOPAL, IN","1970-03-29","0.00"
"IN011350400","BHOPAL, IN","1970-03-30","0.00"
"IN011350400","BHOPAL, IN","1970-03-31","0.00"
"IN011350400","BHOPAL, IN","1970-04-01","0.00"
"IN011350400","BHOPAL, IN","1970-04-02","0.00"
"IN011350400","BHOPAL, IN","1970-04-03","0.00"
"IN011350400","BHOPAL, IN","1970-04-04","0.00"
"IN011350400","BHOPAL, IN","1970-04-05","0.00"
"IN011350400","BHOPAL, IN","1970-04-06","0.00"
"IN011350400","BHOPAL, IN","1970-04-07","0.00"
"IN011350400","BHOPAL, IN","1970-04-08","0.00"
"IN011350400","BHOPAL, IN","1970-04-09","0.00"
"IN011350400","BHOPAL, IN","1970-04-10","0.00"
"IN011350400","BHOPAL, IN","1970-04-11","0.00"
"IN011350400","BHOPAL, IN","1970-04-12","0.00"
"IN011350400","BHOPAL, IN","1970-04-13","0.00"
"IN011350400","BHOPAL, IN","1970-04-14","0.00"
"IN011350400","BHOPAL, IN","1970-04-15","0.00"
"IN011350400","BHOPAL, IN","1970-04-16","0.00"
"IN011350400","BHOPAL, IN","1970-04-17","0.00"
"IN011350400","BHOPAL, IN","1970-04-18","0.00"
"IN011350400","BHOPAL, IN","1970-04-19","0.00"
"IN011350400","BHOPAL, IN","1970-04-20","0.00"
"IN011350400","BHOPAL, IN","1970-04-21","0.00"
"IN011350400","BHOPAL, IN","1970-04-22","0.00"
"IN011350400","BHOPAL, IN","1970-04-23","0.00"
"IN011350400","BHOPAL, IN","1970-04-24","0.00"
"IN011350400","BHOPAL, IN","1970-04-25","0.00"
"IN011350400","BHOPAL, IN","1970-04-26","0.00"
"IN011350400","BHOPAL, IN","1970-04-27","0.00"
"IN011350400","BHOPAL, IN","1970-04-28","0.00"
"IN011350400","BHOPAL, IN","1970-04-29","0.00"
"IN011350400","BHOPAL, IN","1970-04-30","0.00"
"IN011350400","BHOPAL, IN","1970-05-01","0.00"
"IN011350400","BHOPAL, IN","1970-05-02","0.00"
"IN011350400","BHOPAL, IN","1970-05-03","0.00"
"IN011350400","BHOPAL, IN","1970-05-04","0.00"
"IN011350400","BHOPAL, IN","1970-05-05","0.00"
"IN011350400","BHOPAL, IN","1970-05-06","0.00"
"IN011350400","BHOPAL, IN","1970-05-07","0.00"
"IN011350400","BHOPAL, IN","1970-05-08","0.00"
"IN011350400","BHOPAL, IN","1970-05-09","0.00"
"IN011350400","BHOPAL, IN","1970-05-10","0.00"
"IN011350400","BHOPAL, IN","1970-05-11","0.00"
"IN011350400","BHOPAL, IN","1970-05-12","0.00"
"IN011350400","BHOPAL, IN","1970-05-13","0.00"
"IN011350400","BHOPAL, IN","1970-05-14","0.00"
"IN011350400","BHOPAL, IN","1970-05-15","0.00"
"IN011350400","BHOPAL, IN","1970-05-16","0.00"
"IN011350400","BHOPAL, IN","1970-05-17","0.00"
"IN011350400","BHOPAL, IN","1970-05-18","0.00"
"IN011350400","BHOPAL, IN","1970-05-19","0.00"
"IN011350400","BHOPAL, IN","1970-05-20","0.00"
"IN011350400","BHOPAL, IN","1970-05-21","0.00"
"IN011350400","BHOPAL, IN","1970-05-22","0.00"
"IN011350400","BHOPAL, IN","1970-05-23","0.00"
"IN011350400","BHOPAL, IN","1970-05-24","0.00"
"IN011350400","BHOPAL, IN","1970-05-25","0.00"
"IN011350400","BHOPAL, IN","1970-05-26","0.00"
"IN011350400","BHOPAL, IN","1970-05-27","0.00"
"IN011350400","BHOPAL, IN","1970-05-28","0.00"
"IN011350400","BHOPAL, IN","1970-05-29","0.00"
"IN011350400","BHOPAL, IN","1970-05-30","0.00"
"IN011350400","BHOPAL, IN","1970-05-31","0.00"
"IN011350400","BHOPAL, IN","1970-06-01","0.00"
"IN011350400","BHOPAL, IN","1970-06-02","0.00"
"IN011350400","BHOPAL, IN","1970-06-03","0.00"
"IN011350400","BHOPAL, IN","1970-06-04","0.00"
"IN011350400","BHOPAL, IN","1970-06-05","1.80"
"IN011350400","BHOPAL, IN","1970-06-06","0.00"
"IN011350400","BHOPAL, IN","1970-06-07","0.95"
"IN011350400","BHOPAL, IN","1970-06-08","0.00"
"IN011350400","BHOPAL, IN","1970-06-09","0.00"
"IN011350400","BHOPAL, IN","1970-06-10","0.00"
"IN011350400","BHOPAL, IN","1970-06-11","0.00"
"IN011350400","BHOPAL, IN","1970-06-12","0.00"
"IN011350400","BHOPAL, IN","1970-06-13","0.00"
"IN011350400","BHOPAL, IN","1970-06-14","1.82"
"IN011350400","BHOPAL, IN","1970-06-15","0.45"
"IN011350400","BHOPAL, IN","1970-06-16","0.00"
"IN011350400","BHOPAL, IN","1970-06-17","0.80"
"IN011350400","BHOPAL, IN","1970-06-18","0.00"
"IN011350400","BHOPAL, IN","1970-06-19","0.00"
"IN011350400","BHOPAL, IN","1970-06-20","0.00"
"IN011350400","BHOPAL, IN","1970-06-21","0.00"
"IN011350400","BHOPAL, IN","1970-06-22","0.00"
"IN011350400","BHOPAL, IN","1970-06-23","0.00"
"IN011350400","BHOPAL, IN","1970-06-24","0.00"
"IN011350400","BHOPAL, IN","1970-06-25","0.00"
"IN011350400","BHOPAL, IN","1970-06-26","0.00"
"IN011350400","BHOPAL, IN","1970-06-27","0.00"
"IN011350400","BHOPAL, IN","1970-06-28","0.00"
"IN011350400","BHOPAL, IN","1970-06-29","0.00"
"IN011350400","BHOPAL, IN","1970-06-30","1.00"
"IN011350400","BHOPAL, IN","1970-07-01","4.40"
"IN011350400","BHOPAL, IN","1970-07-02","2.56"
"IN011350400","BHOPAL, IN","1970-07-03","3.54"
"IN011350400","BHOPAL, IN","1970-07-04","0.05"
"IN011350400","BHOPAL, IN","1970-07-05","0.00"
"IN011350400","BHOPAL, IN","1970-07-06","0.00"
"IN011350400","BHOPAL, IN","1970-07-07","0.13"
"IN011350400","BHOPAL, IN","1970-07-08","0.11"
"IN011350400","BHOPAL, IN","1970-07-09","0.16"
"IN011350400","BHOPAL, IN","1970-07-10","0.63"
"IN011350400","BHOPAL, IN","1970-07-11","0.82"
"IN011350400","BHOPAL, IN","1970-07-12","0.14"
"IN011350400","BHOPAL, IN","1970-07-13","0.00"
"IN011350400","BHOPAL, IN","1970-07-14","0.00"
"IN011350400","BHOPAL, IN","1970-07-15","0.00"
"IN011350400","BHOPAL, IN","1970-07-16","0.00"
"IN011350400","BHOPAL, IN","1970-07-17","0.00"
"IN011350400","BHOPAL, IN","1970-07-18","0.00"
"IN011350400","BHOPAL, IN","1970-07-19","0.00"
"IN011350400","BHOPAL, IN","1970-07-20","0.00"
"IN011350400","BHOPAL, IN","1970-07-21","0.00"
"IN011350400","BHOPAL, IN","1970-07-22","0.00"
"IN011350400","BHOPAL, IN","1970-07-23","0.00"
"IN011350400","BHOPAL, IN","1970-07-24","0.00"
"IN011350400","BHOPAL, IN","1970-07-25","0.00"
"IN011350400","BHOPAL, IN","1970-07-26","0.00"
"IN011350400","BHOPAL, IN","1970-07-27","0.00"
"IN011350400","BHOPAL, IN","1970-07-28","0.00"
"IN011350400","BHOPAL, IN","1970-07-29","1.06"
"IN011350400","BHOPAL, IN","1970-07-30","2.25"
"IN011350400","BHOPAL, IN","1970-07-31","0.18"
"IN011350400","BHOPAL, IN","1970-08-01","0.42"
"IN011350400","BHOPAL, IN","1970-08-02","0.00"
"IN011350400","BHOPAL, IN","1970-08-03","1.10"
"IN011350400","BHOPAL, IN","1970-08-04","0.05"
"IN011350400","BHOPAL, IN","1970-08-05","0.22"
"IN011350400","BHOPAL, IN","1970-08-06","0.04"
"IN011350400","BHOPAL, IN","1970-08-07","0.00"
"IN011350400","BHOPAL, IN","1970-08-08","0.00"
"IN011350400","BHOPAL, IN","1970-08-09","1.98"
"IN011350400","BHOPAL, IN","1970-08-10","1.19"
"IN011350400","BHOPAL, IN","1970-08-11","1.15"
"IN011350400","BHOPAL, IN","1970-08-12","0.13"
"IN011350400","BHOPAL, IN","1970-08-13","1.65"
"IN011350400","BHOPAL, IN","1970-08-14","5.62"
"IN011350400","BHOPAL, IN","1970-08-15","0.04"
"IN011350400","BHOPAL, IN","1970-08-16","0.20"
"IN011350400","BHOPAL, IN","1970-08-17","0.00"
"IN011350400","BHOPAL, IN","1970-08-18","1.70"
"IN011350400","BHOPAL, IN","1970-08-19","0.32"
"IN011350400","BHOPAL, IN","1970-08-20","0.44"
"IN011350400","BHOPAL, IN","1970-08-21","0.32"
"IN011350400","BHOPAL, IN","1970-08-22","0.50"
"IN011350400","BHOPAL, IN","1970-08-23","2.25"
"IN011350400","BHOPAL, IN","1970-08-24","0.45"
"IN011350400","BHOPAL, IN","1970-08-25","1.18"
"IN011350400","BHOPAL, IN","1970-08-26","0.70"
"IN011350400","BHOPAL, IN","1970-08-27","0.25"
"IN011350400","BHOPAL, IN","1970-08-28","1.00"
"IN011350400","BHOPAL, IN","1970-08-29","4.56"
"IN011350400","BHOPAL, IN","1970-08-30","0.25"
"IN011350400","BHOPAL, IN","1970-08-31","0.46"
"IN011350400","BHOPAL, IN","1970-09-01","0.40"
"IN011350400","BHOPAL, IN","1970-09-02","0.46"
"IN011350400","BHOPAL, IN","1970-09-03","1.08"
"IN011350400","BHOPAL, IN","1970-09-04","0.20"
"IN011350400","BHOPAL, IN","1970-09-05","1.20"
"IN011350400","BHOPAL, IN","1970-09-06","4.21"
"IN011350400","BHOPAL, IN","1970-09-07","0.12"
"IN011350400","BHOPAL, IN","1970-09-08","0.00"
"IN011350400","BHOPAL, IN","1970-09-09","0.00"
"IN011350400","BHOPAL, IN","1970-09-10","0.00"
"IN011350400","BHOPAL, IN","1970-09-11","0.00"
"IN011350400","BHOPAL, IN","1970-09-12","0.48"
"IN011350400","BHOPAL, IN","1970-09-13","0.39"
"IN011350400","BHOPAL, IN","1970-09-14","0.28"
"IN011350400","BHOPAL, IN","1970-09-15","0.00"
"IN011350400","BHOPAL, IN","1970-09-16","0.00"
"IN011350400","BHOPAL, IN","1970-09-17","0.00"
"IN011350400","BHOPAL, IN","1970-09-18","0.00"
"IN011350400","BHOPAL, IN","1970-09-19","0.00"
"IN011350400","BHOPAL, IN","1970-09-20","0.00"
"IN011350400","BHOPAL, IN","1970-09-21","0.00"
"IN011350400","BHOPAL, IN","1970-09-22","2.46"
"IN011350400","BHOPAL, IN","1970-09-23","0.35"
"IN011350400","BHOPAL, IN","1970-09-24","0.26"
"IN011350400","BHOPAL, IN","1970-09-25","0.09"
"IN011350400","BHOPAL, IN","1970-09-26","2.45"
"IN011350400","BHOPAL, IN","1970-09-27","0.00"
"IN011350400","BHOPAL, IN","1970-09-28","0.00"
"IN011350400","BHOPAL, IN","1970-09-29","0.00"
"IN011350400","BHOPAL, IN","1970-09-30","0.00"
"IN011350400","BHOPAL, IN","1970-10-01","0.14"
"IN011350400","BHOPAL, IN","1970-10-02","0.00"
"IN011350400","BHOPAL, IN","1970-10-03","0.00"
"IN011350400","BHOPAL, IN","1970-10-04","0.00"
"IN011350400","BHOPAL, IN","1970-10-05","0.00"
"IN011350400","BHOPAL, IN","1970-10-06","0.00"
"IN011350400","BHOPAL, IN","1970-10-07","0.00"
"IN011350400","BHOPAL, IN","1970-10-08","0.00"
"IN011350400","BHOPAL, IN","1970-10-09","0.00"
"IN011350400","BHOPAL, IN","1970-10-10","0.00"
"IN011350400","BHOPAL, IN","1970-10-11","0.00"
"IN011350400","BHOPAL, IN","1970-10-12","0.00"
"IN011350400","BHOPAL, IN","1970-10-13","0.00"
"IN011350400","BHOPAL, IN","1970-10-14","0.00"
"IN011350400","BHOPAL, IN","1970-10-15","0.00"
"IN011350400","BHOPAL, IN","1970-10-16","0.00"
"IN011350400","BHOPAL, IN","1970-10-17","0.00"
"IN011350400","BHOPAL, IN","1970-10-18","0.00"
"IN011350400","BHOPAL, IN","1970-10-19","0.00"
"IN011350400","BHOPAL, IN","1970-10-20","0.00"
"IN011350400","BHOPAL, IN","1970-10-21","0.00"
"IN011350400","BHOPAL, IN","1970-10-22","0.00"
"IN011350400","BHOPAL, IN","1970-10-23","0.00"
"IN011350400","BHOPAL, IN","1970-10-24","0.00"
"IN011350400","BHOPAL, IN","1970-10-25","0.00"
"IN011350400","BHOPAL, IN","1970-10-26","0.00"
"IN011350400","BHOPAL, IN","1970-10-27","0.00"
"IN011350400","BHOPAL, IN","1970-10-28","0.00"
"IN011350400","BHOPAL, IN","1970-10-29","0.00"
"IN011350400","BHOPAL, IN","1970-10-30","0.00"
"IN011350400","BHOPAL, IN","1970-10-31","0.00"
"IN011350400","BHOPAL, IN","1970-11-01","0.00"
"IN011350400","BHOPAL, IN","1970-11-02","0.00"
"IN011350400","BHOPAL, IN","1970-11-03","0.00"
"IN011350400","BHOPAL, IN","1970-11-04","0.00"
"IN011350400","BHOPAL, IN","1970-11-05","0.00"
"IN011350400","BHOPAL, IN","1970-11-06","0.00"
"IN011350400","BHOPAL, IN","1970-11-07","0.00"
"IN011350400","BHOPAL, IN","1970-11-08","0.00"
"IN011350400","BHOPAL, IN","1970-11-09","0.00"
"IN011350400","BHOPAL, IN","1970-11-10","0.00"
"IN011350400","BHOPAL, IN","1970-11-11","0.00"
"IN011350400","BHOPAL, IN","1970-11-12","0.00"
"IN011350400","BHOPAL, IN","1970-11-13","0.00"
"IN011350400","BHOPAL, IN","1970-11-14","0.00"
"IN011350400","BHOPAL, IN","1970-11-15","0.00"
"IN011350400","BHOPAL, IN","1970-11-16","0.00"
"IN011350400","BHOPAL, IN","1970-11-17","0.00"
"IN011350400","BHOPAL, IN","1970-11-18","0.00"
"IN011350400","BHOPAL, IN","1970-11-19","0.00"
"IN011350400","BHOPAL, IN","1970-11-20","0.00"
"IN011350400","BHOPAL, IN","1970-11-21","0.00"
"IN011350400","BHOPAL, IN","1970-11-22","0.00"
"IN011350400","BHOPAL, IN","1970-11-23","0.00"
"IN011350400","BHOPAL, IN","1970-11-24","0.00"
"IN011350400","BHOPAL, IN","1970-11-25","0.00"
"IN011350400","BHOPAL, IN","1970-11-26","0.00"
"IN011350400","BHOPAL, IN","1970-11-27","0.00"
"IN011350400","BHOPAL, IN","1970-11-28","0.00"
"IN011350400","BHOPAL, IN","1970-11-29","0.00"
"IN011350400","BHOPAL, IN","1970-11-30","0.00"
"IN011350400","BHOPAL, IN","1970-12-01","0.00"
"IN011350400","BHOPAL, IN","1970-12-02","0.00"
"IN011350400","BHOPAL, IN","1970-12-03","0.00"
"IN011350400","BHOPAL, IN","1970-12-04","0.00"
"IN011350400","BHOPAL, IN","1970-12-05","0.00"
"IN011350400","BHOPAL, IN","1970-12-06","0.00"
"IN011350400","BHOPAL, IN","1970-12-07","0.00"
"IN011350400","BHOPAL, IN","1970-12-08","0.00"
"IN011350400","BHOPAL, IN","1970-12-09","0.00"
"IN011350400","BHOPAL, IN","1970-12-10","0.00"
"IN011350400","BHOPAL, IN","1970-12-11","0.00"
"IN011350400","BHOPAL, IN","1970-12-12","0.00"
"IN011350400","BHOPAL, IN","1970-12-13","0.00"
"IN011350400","BHOPAL, IN","1970-12-14","0.00"
"IN011350400","BHOPAL, IN","1970-12-15","0.00"
"IN011350400","BHOPAL, IN","1970-12-16","0.00"
"IN011350400","BHOPAL, IN","1970-12-17","0.00"
"IN011350400","BHOPAL, IN","1970-12-18","0.00"
"IN011350400","BHOPAL, IN","1970-12-19","0.00"
"IN011350400","BHOPAL, IN","1970-12-20","0.00"
"IN011350400","BHOPAL, IN","1970-12-21","0.00"
"IN011350400","BHOPAL, IN","1970-12-22","0.00"
"IN011350400","BHOPAL, IN","1970-12-23","0.00"
"IN011350400","BHOPAL, IN","1970-12-24","0.00"
"IN011350400","BHOPAL, IN","1970-12-25","0.00"
"IN011350400","BHOPAL, IN","1970-12-26","0.00"
"IN011350400","BHOPAL, IN","1970-12-27","0.00"
"IN011350400","BHOPAL, IN","1970-12-28","0.00"
"IN011350400","BHOPAL, IN","1970-12-29","0.00"
"IN011350400","BHOPAL, IN","1970-12-30","0.00"
"IN011350400","BHOPAL, IN","1970-12-31","0.00"
